StatBezirkNr;Statistischer Bezirk;Gebäude im Eigentum einer Privatperson;Gebäude im Eigentum mehrerer Privatpersonen;Gebäude im Eigentum des Bundes;Gebäude im Eigentum des Landes;Gebäude im Eigentum der Gemeinde;Gebäude im Eigentum von gemeinnützigen Bauvereinigungen;Gebäude im Eigentum sonstiger juristischer Personen;Gebäude mit unbekanntem Eigentümer
1;Altstadtviertel;117;112;1;15;3;5;94;0 
2;Rathausviertel;128;135;5;7;25;88;156;0 
3;Kaplanhofviertel;50;43;10;1;34;241;59;0 
4;Neustadtviertel;196;193;2;0;41;67;139;0 
5;Volksgartenviertel;168;189;1;5;6;75;141;0 
6;Römerberg-Margarethen;241;220;0;0;11;17;56;0 
7;Freinberg;63;54;1;0;2;0;29;0 
8;Froschberg;397;412;0;3;11;250;62;0 
9;Keferfeld;408;436;3;0;9;212;26;0 
10;Bindermichl;90;134;1;0;5;421;34;0 
11;Spallerhof;26;51;0;4;7;317;13;0 
12;Wankmüllerhofviertel;71;159;0;0;6;97;19;0 
13;Andreas-Hofer-Platz-Viertel;170;160;4;18;5;113;124;0 
14;Makartviertel;125;111;13;5;8;195;164;0 
15;Franckviertel;90;90;53;8;108;306;80;0 
16;Hafenviertel;195;108;6;2;3;32;314;0 
17;St. Peter;22;8;2;0;4;7;519;0 
18;Neue Welt;222;264;0;4;3;18;37;0 
19;Scharlinz;195;248;0;0;9;73;38;0 
20;Bergern;81;116;0;0;0;174;63;0 
21;Neue Heimat;125;134;0;1;11;334;23;0 
22;Wegscheid;98;99;0;4;0;115;96;0 
23;Schörgenhub;238;203;0;0;17;547;104;0 
24;Kleinmünchen;140;76;0;3;12;323;51;0 
25;Ebelsberg;1065;1143;4;3;29;825;126;0 
26;Alt-Urfahr;193;183;4;0;30;32;73;0 
27;Heilham;39;18;2;3;1;153;19;0 
28;Hartmayrsiedlung;17;17;0;0;4;208;18;0 
29;Harbachsiedlung;95;120;0;0;119;131;6;0 
30;Karlhofsiedlung;110;157;0;1;7;99;28;0 
31;Auberg;283;365;0;0;0;51;67;0 
32;Pöstlingberg;192;231;0;1;6;3;32;0 
33;Bachl-Gründberg;257;347;0;0;13;48;20;0 
34;St. Magdalena;331;637;0;0;7;138;43;0 
35;Katzbach;255;430;13;3;7;103;92;0 
36;Elmberg;156;153;4;0;0;51;19;0 
