FID,SCD,STR_NAME,BEZANZ,BEZLISTE,GUELTIG_AB,GIP_OBJECTID,NAMECAT,NAMECAT_NAME
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d2c,14281,Aldo-Moro-Hof,1,18,1987-01-15,10008961,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d2b,14282,Ernst-Kirchweger-Hof,1,10,1987-06-09,10008962,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d2a,14284,Maria-Franc-Hof,1,8,1987-09-10,10008964,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d29,14286,Franz-Glaserer-Hof,1,14,1987-10-08,10008966,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d28,14288,Franz-Grolig-Hof,1,5,1988-01-18,10008968,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d27,18043,Bahnwächterhaus,1,21,1973-01-05,10009764,10001,Objektname
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d26,18046,Bei der Kreuzeiche,1,19,1973-01-05,10009767,7355,Flurname
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d25,18047,Bei der Tafeleiche,1,23,1973-01-05,10009768,7355,Flurname
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d24,14328,Herbert-Böhm-Hof,1,11,2001-01-11,10389558,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d23,15156,Rückhaltebecken Alterlaa,1,23,2006-03-28,10459047,62,"Stehendes Gewässer (See, Teich)"
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d22,15157,Rückhaltebecken Inzersdorf 1,1,23,2006-03-28,10459048,62,"Stehendes Gewässer (See, Teich)"
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d21,15160,Knotzenbach,1,23,2006-03-29,10459147,2013,Fließgewässer
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d20,15161,Schallautzergraben,1,13,2011-01-13,10459148,2013,Fließgewässer
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d1f,15164,Marienbach,1,13,2006-03-29,10459151,2013,Fließgewässer
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d1e,15167,Quellengraben,1,17,2006-03-29,10459154,2013,Fließgewässer
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d1d,15143,Konstantinteich,1,2,2006-02-02,10457878,62,"Stehendes Gewässer (See, Teich)"
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d1c,06165,Kieslerweg,1,22,1987-10-08,10005993,2058,Weg in Kleingartenanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d1b,10770,Rettungstunnel AKH,2,9|18,1994-09-21,10008047,7356,Tunnel
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d1a,16018,KLG Am Ries Strasser,1,22,1987-11-06,10009123,7353,Kleingartenanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d19,17035,Temporärer Markt Freyung,1,1,1992-01-17,10009715,7354,Markt
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d18,71609,KG Jedlesee,1,21,1983-10-13,10010768,7253,Katastralgemeinde
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d17,71614,KG Schwarze Lackenau,3,19|20|21,1983-10-13,10010773,7253,Katastralgemeinde
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d16,71617,KG Strebersdorf,1,21,1983-10-13,10010776,7253,Katastralgemeinde
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d15,71651,KG Aspern,2,2|22,1987-01-30,10010780,7253,Katastralgemeinde
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d14,22222,Sportplatz Rapid Oberlaa,1,10,2013-02-06,10010589,20020,Sportplatz
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d13,22223,Sportplatz Haus des Sportes,1,10,2013-02-19,10010590,20020,Sportplatz
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d12,22224,Sportplatz Favoritner-Athletik-Club,1,10,2013-02-07,10010591,20020,Sportplatz
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d11,14059,Fröhlichhof,1,12,1930-06-30,10008746,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d10,17044,Temporärer Markt Liesing,1,23,1992-01-23,10009724,7354,Markt
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d0f,10551,Zweiter Gerinnedurchlaß,1,17,1989-06-02,10007828,10071,lokaler (interner) Straßenname
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d0e,10276,Durchgang Bahnhof Meidling,1,12,2014-07-18,10007556,50040,Unterführung
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d0d,10279,Opernpassage,1,1,1973-01-05,10007559,50030,Passage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d0c,10280,Fußgängerpassage Bellariastraße,1,1,1973-01-05,10007560,50030,Passage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d0b,10281,Babenbergerpassage,1,1,2014-07-25,10007561,50030,Passage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d0a,10220,Naufahrtbrücke,1,22,1973-01-05,10007501,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d09,18452,Gewerbepark Kagran,1,22,1999-09-02,10377448,10001,Objektname
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d08,04367,Schubertgasse,1,9,1862-06-30,10004271,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d07,19011,Friedhof Grinzing,1,19,2012-10-04,10010163,7251,Friedhof
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d06,19015,Friedhof Hernals,1,17,2012-10-04,10010167,7251,Friedhof
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d05,16069,KLG Favoriten,1,10,1973-01-05,10009173,7353,Kleingartenanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d04,16112,KLG Helgoland,1,20,1973-01-05,10009212,7353,Kleingartenanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d03,16131,KLG Hügelwiese,1,17,1973-01-05,10009230,7353,Kleingartenanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d02,04729,Stipcakgasse,1,23,1954-05-19,10004630,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d01,06503,Katsushikastraße,1,21,2001-06-12,10392976,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d00,12113,Lampaweg,1,22,1973-01-23,10008221,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cff,03108,Masurenweg,1,22,1973-01-05,10003037,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cfe,03662,Pfeilkrautweg,1,22,1966-11-02,10003582,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cfd,05628,Spitzweg,1,21,2002-02-12,10005505,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cfc,01216,Fleischmarkt,1,1,1973-05-03,10001176,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cfb,09807,Kiki-Kogelnik-Weg,1,22,2011-11-29,10007115,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cfa,00672,Canisiusgasse,1,9,1900-02-08,10000647,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cf9,09524,Keynesgasse,1,21,1994-09-22,10006866,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cf8,01031,Eisvogelgasse,1,6,1869-01-01,10000994,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cf7,04787,Stubenring,1,1,1862-06-30,10004688,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cf6,14330,Margarete-Schütte-Lihotzky-Hof,1,21,2001-11-27,10395248,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cf5,14333,Franz-Gawlik-Hof,1,15,2002-06-04,10397245,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cf4,14334,Ella-Lingens-Hof,1,23,2003-11-07,10419605,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cf3,14337,Leopold-Mayrhofer-Hof,1,13,2004-10-18,10447133,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cf2,14338,Margarete-Hilferding-Hof,1,10,2006-03-14,10458198,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cf1,10319,Passage Mariahilfer Straße,3,1|6|7,1755-01-01,10007599,50030,Passage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cf0,10321,Passage Matzleinsdorfer Platz,2,5|10,1755-01-01,10007601,50030,Passage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cef,10323,Unterfahrung Guldengasse,1,14,1755-01-01,10007603,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cee,10325,Unterführung Deutschordenstraße,1,14,1755-01-01,10007605,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ced,18093,Häuserl am Stoan,1,19,1973-01-05,10009814,10001,Objektname
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cec,18114,Jachthafen,1,19,1973-01-05,10009833,50050,Hafenanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ceb,17042,Temporärer Markt Quadenstraße,1,22,1992-01-22,10009722,7354,Markt
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cea,14213,Josef-Rautmann-Hof,1,14,1976-03-01,10008895,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ce9,14214,Max-Opravil-Hof,1,12,1974-09-02,10008896,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ce8,14216,Julius-Bermann-Hof,1,2,1977-02-14,10008898,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ce7,90078,U-Bahn Station Jägerstraße,1,20,1995-01-12,10010900,51010,U-Bahnstation
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ce6,90079,U-Bahn Station Dresdner Straße,1,20,1993-04-01,10010901,51010,U-Bahnstation
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ce5,90083,Bahnhof Wasserleitungswiese,2,19|9,1985-01-16,10010905,1306,Bahnhof
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ce4,14084,Hueberhof,1,10,1949-02-15,10008770,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ce3,14085,Hugo-Breitner-Hof,1,14,1952-09-17,10008771,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ce2,10697,Gänshaufentraverse,1,22,1989-07-18,10007974,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ce1,10699,Reichsbrückenrampe Nord,1,22,1989-07-18,10007976,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ce0,10705,EN 54,1,22,1989-07-25,10007982,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cdf,14169,Viktor-Adler-Hof,1,10,1924-06-30,10008853,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cde,05527,Kolo-Moser-Gasse,1,22,1969-11-04,10005413,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cdd,05449,Ziegelhofstraße,1,22,1945-06-18,10005339,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cdc,01700,Habichergasse,1,16,1883-01-01,10001651,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cdb,00508,Blumengasse,2,17|18,1973-01-05,10000492,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cda,01916,Herbeckstraße,2,17|18,1903-05-14,10001862,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cd9,05184,Wattgasse,2,16|17,1883-06-30,10005079,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cd8,01838,Haugerstraße,1,11,1940-07-27,10001787,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cd7,00101,Altmannsdorfer Straße,2,12|23,1954-01-01,10000097,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cd6,05680,Donaustraße,1,19,1973-01-05,10005549,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cd5,03501,Oleandergasse,1,22,1954-05-19,10003425,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cd4,10221,Steg über das Untere Mühlwasser,1,22,1973-01-05,10007502,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cd3,01388,Galvanigasse,1,21,1936-03-13,10001345,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cd2,00286,Audorfgasse,1,21,1932-03-23,10000275,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cd1,03795,Puffergasse,1,21,1965-09-08,10003715,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cd0,09226,Curiegasse,1,22,1973-01-23,10006643,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ccf,05578,Scheringgasse,1,14,1968-06-04,10005461,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cce,09519,Jane-Tilden-Gasse,1,21,2006-10-03,10006862,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ccd,10455,Hasenleitensteg,1,11,2009-03-31,10007733,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ccc,00998,Ehrenfelsgasse,1,12,1894-01-01,10000961,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ccb,05988,Rosvaengegasse,1,22,1983-01-13,10005826,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cca,01603,Greutberggasse,1,14,1964-05-06,10001557,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cc9,03542,Pacassistraße,1,13,1922-10-14,10003464,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cc8,04170,Satgasse,1,13,1973-01-05,10004083,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cc7,06325,Oehlenschlägergasse,1,12,1994-09-22,10006148,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cc6,09720,Pollitzergasse,1,16,1971-01-19,10007042,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cc5,01994,Hlavacekweg,1,14,1930-04-02,10001940,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cc4,10041,Lobkowitzbrücke,2,12|15,1973-01-05,10007330,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cc3,01044,Elsniggasse,1,12,1911-03-07,10001007,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cc2,00468,Biererlgasse,1,10,1956-06-20,10000453,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cc1,01685,Gustav-Seidel-Gasse,1,13,1973-01-05,10001636,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cc0,00609,Brünner Straße,1,21,1973-05-03,10000588,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cbf,00921,Draskovichgasse,1,14,1894-01-01,10000885,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cbe,10153,Linzer Brücke,1,14,1973-01-05,10007440,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cbd,05392,Würthgasse,1,19,1894-06-30,10005282,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cbc,04567,Sommergasse,1,19,1920-06-30,10004468,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cbb,00531,Böttgerweg,1,19,1930-05-28,10000515,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cba,04489,Seumegasse,1,12,1894-06-30,10004391,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cb9,00197,Anfanggasse,1,22,1909-01-01,10000186,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cb8,02671,Kronfußgasse,1,23,1959-07-08,10002605,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cb7,09479,Schattenfrohgasse,1,22,1972-09-05,10006833,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cb6,12164,Papinweg,1,22,1973-01-05,10008272,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cb5,00683,Castagnagasse,1,22,1965-04-07,10000658,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cb4,09978,Moosbeerenweg,1,22,2004-10-18,10007272,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cb3,09834,Strunzgasse,1,22,1987-06-09,10007139,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cb2,06154,Maria-Hirschler-Weg,1,22,2002-09-10,10005983,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cb1,06312,Bonsaigasse,1,22,2005-03-01,10006135,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cb0,06468,Fuchshäufelgasse,1,22,2003-11-07,10377938,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1caf,04981,Tullnertalgasse,1,23,1923-06-30,10004879,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cae,04987,Tuschlgasse,1,23,1959-09-02,10004885,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cad,05257,Wernergasse,1,23,1973-01-05,10005150,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cac,05464,Zimmermannplatz,1,9,1899-06-30,10005354,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1cab,04088,Rummelhardtgasse,1,9,1945-06-30,10004002,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1caa,00296,Augasse,1,9,1973-01-05,10000285,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ca9,10415,Michelbeuernsteg,2,9|18,1988-11-22,10007693,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ca8,01379,Gärtnergasse,1,3,1862-01-01,10001336,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ca7,00358,Barbaragasse,1,1,1973-05-01,10000347,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ca6,03669,Philharmonikerstraße,1,1,1942-03-25,10003589,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ca5,02444,Khevenhüllerstraße,2,18|19,1894-06-30,10002385,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ca4,05745,Torberggasse,1,14,1981-11-05,10005608,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ca3,03123,Matznergasse,1,14,1920-06-30,10003052,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ca2,02766,Langenaugasse,1,19,1919-12-18,10002700,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ca1,02602,Kopfgasse,1,13,1893-07-25,10002536,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1ca0,02306,Käthe-Leichter-Gasse,1,13,1949-02-15,10002247,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c9f,05192,Wegerichgasse,1,14,1953-06-03,10005087,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c9e,02939,Lodrongasse,1,23,1973-01-05,10002871,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c9d,03447,Nußgasse,1,9,1862-06-30,10003371,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c9c,06010,Thymianweg,1,17,1983-02-21,10005848,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c9b,04716,Sternwartestraße,1,18,1879-06-30,10004617,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c9a,01279,Franz-Schubert-Straße,1,14,1973-01-05,10001237,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c99,01559,Gottfried-Sennholzer-Gasse,1,14,1973-01-05,10001514,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c98,04277,Schleusenstraße,1,14,1920-06-30,10004182,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c97,00344,Bahnstraße,1,14,1973-01-05,10000333,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c96,02664,Kröllgasse,1,15,1973-01-05,10002598,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c95,05136,Waldbachsteig,1,19,1895-06-26,10005031,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c94,12148,Josef-Wagner-Weg,1,19,2006-10-03,10008256,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c93,03572,Paradisgasse,1,19,1894-06-30,10003493,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c92,04773,Strigelgasse,1,22,1953-11-18,10004674,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c91,09946,Lessiakgasse,1,22,1971-09-07,10007241,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c90,04494,Seybelgasse,1,23,1973-01-05,10004396,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c8f,03692,Pippichgasse,1,23,1957-10-02,10003612,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c8e,05888,Andreas-Urteil-Weg,1,22,1977-06-13,10005735,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c8d,03125,Maulbeergasse,1,22,1954-01-13,10003054,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c8c,05987,Einslegasse,1,22,1983-01-13,10005825,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c8b,04795,Stundlgasse,1,22,1953-04-15,10004696,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c8a,05690,Franz-Peska-Gasse,1,11,2012-05-08,10005559,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c89,01648,Grünlandweg,1,14,1967-02-07,10001599,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c88,05796,Ernst-Renz-Gasse,1,2,1993-12-02,10005657,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c87,01425,Geigergasse,1,5,1894-12-21,10001382,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c86,05316,Wildgrubgasse,1,19,1755-01-01,10005208,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c85,04427,Schwemmingergasse,1,23,1958-03-19,10004330,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c84,09938,Laziusstraße,1,23,1982-10-07,10007234,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c83,02559,Körblergasse,1,1,1973-01-05,10002496,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c82,04575,Sonnenfelsgasse,1,1,1945-06-30,10004476,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c81,02567,Kohlmarkt,1,1,1755-01-01,10002503,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c80,01933,Hermesstraße,1,13,1894-01-01,10001879,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c7f,04340,Schottenbastei,1,1,1973-01-05,10004245,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c7e,02661,Kriemhildplatz,1,15,1939-06-30,10002595,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c7d,02630,Krastelgasse,1,12,1930-05-28,10002564,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c7c,03128,Maurer Hauptplatz,1,23,1947-06-30,10003057,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c7b,02721,Kurze Gasse,1,23,1973-01-05,10002655,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c7a,10232,Marenabrücke,1,23,1973-01-05,10007513,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c79,05096,Vöschergasse,1,23,1958-03-19,10004991,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c78,01877,12.-Februar-Platz,1,19,1985-01-10,10001825,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1c77,00892,Donaufelder Straße,2,21|22,1830-01-01,10000860,1113,Gemeindestraße
