FID,SCD,STR_NAME,BEZANZ,BEZLISTE,GUELTIG_AB,GIP_OBJECTID,NAMECAT,NAMECAT_NAME
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bdb,20016,Dr.-Rudolf-Hatschek-Park,1,23,1973-01-05,10010226,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bdc,20018,Ebner-Eschenbach-Park,1,18,1973-01-05,10010228,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bdd,20019,Engelbert-Schliemann-Park,1,23,1973-01-05,10010229,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bde,20023,Floridsdorfer Aupark,1,21,1973-01-05,10010233,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bdf,20024,Forschneritschpark,1,15,1973-01-05,10010234,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_be0,20257,Andreas-Rett-Park,1,13,1755-01-01,10393784,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_be1,20258,Josef-Schoiswohl-Park,1,23,2002-06-04,10395249,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_be2,20261,Joseph-Samuel-Bloch-Park,1,21,2002-03-05,10396087,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_be3,19036,Friedhof Simmering,1,11,2012-10-09,10010188,7251,Friedhof
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_be4,20084,Theodor-Körner-Park,1,12,1973-01-05,10010294,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_be5,20095,Wettsteinpark,1,2,1973-01-05,10010305,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_be6,20105,Steinhofer Park,1,14,1977-06-28,10010315,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_be7,20098,Lainzer Tiergarten,1,13,1973-01-05,10010308,7355,Flurname
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_be8,20101,Friedrich-Julius-Bieber-Anlage,1,13,1973-01-05,10010311,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_be9,20103,Kurpark Oberlaa,1,10,2020-07-14,10010313,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bea,20106,Matzner-Park,1,14,1981-04-23,10010316,7252,Park
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_beb,04958,Trinkhausstraße,1,11,1904-12-14,10004857,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bec,01389,Gamandergasse,1,14,1953-06-03,10001346,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bed,02217,Johannagasse,1,5,1847-01-01,10002159,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bee,05334,Wimmergasse,1,5,1875-06-30,10005226,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bef,04576,Sonnenhofgasse,1,5,1862-06-30,10004477,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bf0,03517,Ortnergasse,1,15,1898-08-10,10003440,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bf1,00756,Dadlergasse,1,15,1835-01-01,10000730,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bf2,10255,Brücke über den Petersbach,1,23,1973-01-05,10007536,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bf3,09859,Leidlweg,1,22,1972-01-11,10007162,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bf4,01850,Havannaweg,1,22,1984-11-08,10001799,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bf5,05846,Tokiostraße,1,22,1998-02-10,10005699,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bf6,06455,Lobaustraße,1,22,1755-01-01,10371936,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bf7,03825,Radetzkystraße,1,3,1973-01-05,10003744,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bf8,02707,Kundmanngasse,1,3,1919-09-24,10002641,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bf9,00383,Baumgasse,1,3,1973-01-05,10000371,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bfa,00694,Chiarigasse,1,10,1932-03-23,10000669,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bfb,10408,Kettenbrücke,3,4|5|6,1987-11-23,10007686,2068,Brücke
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bfc,03131,Mauthausgasse,1,5,1862-06-30,10003060,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bfd,09870,Marderweg,1,22,1993-02-24,10007173,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bfe,02481,Klampfelberggasse,1,17,1973-01-05,10002421,1113,Gemeindestraße
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_bff,00748,Czapkagasse,1,3,1881-01-01,10000723,1113,Gemeindestraße
